Sources:,,,,,,
1996-1997,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115055923/http://www.infosource.gc.ca/bulletin/1997-bulletin_e.pdf,,,,,
1997-1998,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/1998-bulletin-eng.pdf,,,,,
1998-1999,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/1999-bulletin-eng.pdf,,,,,
1999-2000,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/2000-bulletin-eng.pdf,,,,,
2000-2001,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/2001-bulletin-eng.pdf,,,,,
2001-2002,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/2002-bulletin-eng.pdf,,,,,
2002-2003,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805213922/http://infosource.gc.ca/bulletin/2003/bulletinpr-eng.asp?format=print,,,,,
2003-2004,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805213750/http://infosource.gc.ca/bulletin/2004/bulletinpr-eng.asp?format=print,,,,,
2004-2005,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805235406/http://www.infosource.gc.ca/bulletin/2005/bulletin03-eng.asp,,,,,
2005-2006,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805234717/http://www.infosource.gc.ca/bulletin/2007/bulletin03-eng.asp,,,,,
2009-2010,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805215136/http://www.infosource.gc.ca/bulletin/2010/b/bulletin33b/bulletin33bpr-eng.asp?format=print,,,,,
,,,,,,
Year,Academic,Business,Media,Orginisations,Public,Decline
1996-1997,353,5083,1148,1320,4572,NA
1997-1998,123,5020,935,1522,4606,NA
1998-1999,265,4785,1409,1622,6259,NA
1999-2000,205,6167,2774,2291,7857,NA
2000-2001,156,8503,2244,3325,6561,NA
2001-2002,146,9237,2609,2119,7154,NA
2002-2003,211,10330,3078,2556,6802,NA
2003-2004,235,10567,2963,2835,8634,NA
2004-2005,297,11910,2107,2680,8213,NA
2005-2006,370,13360,1980,2451,9108,NA
2009-2010,468,17047,3693,1559,12387,NA