Sources:,,,,,
1996-1997,http://webarchive.bac-lac.gc.ca:8080/wayback/20071115055923/http://www.infosource.gc.ca/bulletin/1997-bulletin_e.pdf,,,,
1997-1998,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/1998-bulletin-eng.pdf,,,,
1998-1999,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/1999-bulletin-eng.pdf,,,,
1999-2000,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/2000-bulletin-eng.pdf,,,,
2000-2001,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/2001-bulletin-eng.pdf,,,,
2001-2002,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805202036/http://infosource.gc.ca/bulletin/2002-bulletin-eng.pdf,,,,
2002-2003,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805213922/http://infosource.gc.ca/bulletin/2003/bulletinpr-eng.asp?format=print,,,,
2003-2004,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805213750/http://infosource.gc.ca/bulletin/2004/bulletinpr-eng.asp?format=print,,,,
2004-2005,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805235406/http://www.infosource.gc.ca/bulletin/2005/bulletin03-eng.asp,,,,
2005-2006,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805234717/http://www.infosource.gc.ca/bulletin/2007/bulletin03-eng.asp,,,,
2009-2010,http://webarchive.bac-lac.gc.ca:8080/wayback/20140805215136/http://www.infosource.gc.ca/bulletin/2010/b/bulletin33b/bulletin33bpr-eng.asp?format=print,,,,
,,,,,
Year,Business,Public,Media,Orginizations,Academics
1996-1997,5083,4572,1148,1320,353
1997-1998,5020,4606,935,1522,123
1998-1999,4785,6259,1409,1622,265
1999-2000,6167,7857,2774,2291,205
2000-2001,8503,6561,2244,3325,156
2001-2002,9237,7154,2609,2119,146
2002-2003,10330,6802,3078,2556,211
2003-2004,10567,8634,2963,2835,235
2004-2005,11910,8213,2107,2680,297
2005-2006,13360,9108,1980,2451,370
2009-2010,17047,12387,3693,1559,468